filename,solar_panel
sp0068_png.rf.dcb13dd086f8d2d919263fa63a2456cd.jpg,1
sp0069_png.rf.f2d2a81dcc512d4e569a626386f610e3.jpg,1
sp0070_png.rf.d02d5bd77695bbbcd99bbbe2b0a14031.jpg,1
sp0072_png.rf.0cd40911d8bab4357e15f3c18cb421a0.jpg,1
sp0073_png.rf.efb3ab17c188b460add7cfdfdaa4d4da.jpg,1
sp0074_png.rf.290b1e03045bcd6e33fe2b1a4247caa0.jpg,1
sp0076_png.rf.d9633c5a9b2832f79e6f9a7f59986338.jpg,1
sp0077_png.rf.e162e1e24d5f93863f9939a2f5320a42.jpg,1
sp0078_png.rf.f946eea1b137629a33a59c97c8f528f4.jpg,1
sp0079_png.rf.6461316c5fcdc0b3ca62874f300005cc.jpg,1
sp0080_png.rf.4bd8abf630334ff48533a57e62816695.jpg,1
sp0081_png.rf.4db4a179d2b4a9dbda36190bfa8a382a.jpg,1
sp0082_png.rf.bff2a7555456fca8807f8c2745c8b747.jpg,1
sp0084_png.rf.35a96a4bbc583bf01f689a44fa9e2294.jpg,1
sp0085_png.rf.3ffe0e6c8982065337cf2d49162724fd.jpg,1
sp0086_png.rf.06a4ca69e47d5de8346246a6a4c60d3f.jpg,1
sp0087_png.rf.86f91133213821adbdccbbfbcc620ca6.jpg,1
sp0088_png.rf.3faa50e8d76d9d8a474ae036d4b908b1.jpg,1
sp0089_png.rf.05b5c4fc0cad80577310c37f022b7c4c.jpg,1
sp0090_png.rf.aee9d00ca80f1ed93f1724661c08f65e.jpg,1
sp0091_png.rf.2eaf76fe4370421f71252007ccd4d01c.jpg,1
sp0093_png.rf.18d360ad6912ab14336ecfbaf3231bd4.jpg,1
sp0094_png.rf.cdc3420a3eeb2a69ab0c181cf449f6e8.jpg,1
sp0095_png.rf.0ef3b809c1f0b108fad370488ceb9b9c.jpg,1
sp0096_png.rf.50cf6eb5537acc6ac34e89e70af1acde.jpg,1
sp0099_png.rf.b1f2ce3dc7193014bea7e034fc33b1a8.jpg,1
sp0100_png.rf.df2728bb764c7f9b3fa0067a4d750326.jpg,1
sp0102_png.rf.40070b023acf2ed9d62b39b567d1822a.jpg,1
sp0103_png.rf.ff1024eebceb7a36034fa63872e3a7eb.jpg,1
sp0104_png.rf.deb7ef1e90fd48727c0aa2d95b3e6a4d.jpg,1
sp0105_png.rf.24367ea93c8e83f67f2967e585730471.jpg,1
sp0106_png.rf.2fd7fb3f908102d0fd40acd214cbf547.jpg,1
sp0107_png.rf.3becbda7414f8b48fab56a51dfa91dfb.jpg,1
sp0108_png.rf.6783da94c1581b55a5b764e6f3741991.jpg,1
sp0109_png.rf.f5d8c2896387c9224b12021ae86a0083.jpg,1
sp0110_png.rf.2456dfd8bd81db728cd84c3c8e90d396.jpg,1
sp0111_png.rf.e81772e5e7b47b90741bb8ad1548f19e.jpg,1
sp0113_png.rf.4a276a9cb8aa8339d0a53f23ba0cf8ea.jpg,1
sp0115_png.rf.0d68d1d88886ddbd8a9235da6452f6e0.jpg,1
sp0117_png.rf.27cd25e872c8e6ba444a6e03406511b4.jpg,1
sp0118_png.rf.e13d25d1b417b763b363a2184c097b41.jpg,1
sp0119_png.rf.7cae6eb2de5e76a54079f75154d4da32.jpg,1
sp0120_png.rf.86eb9ae1c2e0b086a05d90894da03806.jpg,1
sp0121_png.rf.e257e403d6753022e183cdae2600adfa.jpg,1
sp0122_png.rf.4836712e16d4773e9f32ae84508c294e.jpg,1
sp0124_png.rf.307f28b4be2203402115a1b8b8ea4a23.jpg,1
sp0125_png.rf.e8758a259a999c4ce0dba3da24c0a81b.jpg,1
sp0126_png.rf.08fadf282016e3696f17ddf9e41d6ea7.jpg,1
sp0127_png.rf.5f71139c33edf70ea8abc8605157dea0.jpg,1
sp0128_png.rf.d85fbc95722b028f43a360f9189ea119.jpg,1
sp0129_png.rf.bd8020463a156f74a9027dbdab31a37e.jpg,1
sp0130_png.rf.e6a1b837ae92b5c59c64a47a00006c4b.jpg,1
sp0131_png.rf.7334a3c1caeb3f84a1963165aa49d530.jpg,1
sp0132_png.rf.fcf8779709d9c5cc28ce8f8d66d73c73.jpg,1
sp0133_png.rf.1175df82b047e0ea104cfe7f5cbd03a2.jpg,1
sp0134_png.rf.bc21506e7e9ce5c50cb365b3b4392733.jpg,1
sp0135_png.rf.575b2cb32ba5b84ab4d179ff28382982.jpg,1
sp0136_png.rf.89ca65759f2d45f8ddaf854d3ea75141.jpg,1
sp0138_png.rf.21943e2c7c7287628c0ced21874ac6c2.jpg,1
sp0139_png.rf.2d11b5950fb2f97ddfdb0dfc0912965e.jpg,1
sp0140_png.rf.788cd5a249569bb839b7916e57d934d8.jpg,1
sp0141_png.rf.1873e479d26db15292835dd8b2200cfe.jpg,1
sp0142_png.rf.49d8f6820d4597e03de4033d9916fae2.jpg,1
sp0143_png.rf.52e60c6716475e731ddb6c268c44b251.jpg,1
sp0144_png.rf.d7e0a62cfe8bfef647282271794a3f57.jpg,1
sp0145_png.rf.711771d9c02042987b1d62713ef9b431.jpg,1
sp0147_png.rf.a6427849e25b2ebd36b072712e303c2a.jpg,1
sp0148_png.rf.feb9c7de96f3b0692a20e402d4cc143d.jpg,1
sp0149_png.rf.182f9c3b124c3da04dcfe6f5b9e0104c.jpg,1
sp0151_png.rf.f258d74414b78ca717ea59b294fb8964.jpg,1
sp0153_png.rf.3f6c2190701d5d8d0620eeacda27f80d.jpg,1
sp0154_png.rf.c98be052cce98b746aac190d3dc880b0.jpg,1
sp0155_png.rf.3353a89002b7c1a3464739295ff3247b.jpg,1
sp0157_png.rf.1735ca932313e954e22fa14193835cbd.jpg,1
sp0160_png.rf.772850042bde57f21910cdc1ed9183e3.jpg,1
sp0161_png.rf.23171b37e18b404c4a13ea4cec524be1.jpg,1
sp0162_png.rf.6bf2f816eb3c7907546222c248eab29c.jpg,1
sp0164_png.rf.503af268be54054c438906912dfe5796.jpg,1
sp0165_png.rf.12c6f870e73c5d5f45113112a993369c.jpg,1
sp0166_png.rf.7e63a607d2099d6e5fac188053100ea1.jpg,1
sp0167_png.rf.f0b69ce11f3cf18790d38e271726d2b5.jpg,1
sp0168_png.rf.b206c939c5878b2b6f4c6b0154334256.jpg,1
sp0169_png.rf.dd36eb8c03b68ce91458cac6fd05db60.jpg,1
sp0171_png.rf.213d4d3b671ecd9336ec2e852d3f2208.jpg,1
sp0172_png.rf.677e450af7ce32b5b465fa2cd967dbf1.jpg,1
sp0174_png.rf.f8e43a3b4e1e487d6dc69d7c71fe214e.jpg,1
sp0175_png.rf.641c6ccaca23fa475fdd46135938c23b.jpg,1
sp0176_png.rf.ec8c883903afebcb7176a3e0532c8754.jpg,1
sp0177_png.rf.900bd1daa0e48da0b82d79f61e856db0.jpg,1
sp0178_png.rf.d05b728f38a05f09864a60ca8a390e7a.jpg,1
sp0179_png.rf.89895b0a8aa32c74271e591830f50302.jpg,1
sp0180_png.rf.f8ed3f58cd7bd3260d950b05fa7c2d06.jpg,1
sp0181_png.rf.56026e7abcaeae883476a074c23c70a3.jpg,1
sp0182_png.rf.f27ae221a4208f1d16a2678cbaf01729.jpg,1
sp0183_png.rf.1ef37290a53a606c8ca2da5050771d8f.jpg,1
sp0184_png.rf.2ac2109c7cb711653983c582f3efb234.jpg,1
sp0185_png.rf.a4abcb6061709f02a2cee77638667a43.jpg,1
sp0186_png.rf.29886e50c157d52c2ab9f042319848b9.jpg,1
sp0187_png.rf.1e65402e14582c727f4e01c7b1761a37.jpg,1
sp0189_png.rf.003c208bdc7fb72dad75c319063f1a23.jpg,1
sp0190_png.rf.b8f76edbdce98ebd0cddeb25c086498c.jpg,1
sp0191_png.rf.f83abdecdcde1c80846c15fa82be2559.jpg,1
